member_name,top_keywords
αβδελας κωνσταντινου αποστολος,"παπαναστας, ταραντιλ, ξανθοπουλ, 771, κωτς, σκουρολιακ, θεοφιλ, σακοραφ, ξενογιαννακοπουλ, συριζα, 4ο, μέρα25, φοιτ, διαθες, κορινθ, μισθοδοσι, ανδρε, αιτωλοακαρνανι, καρδιτς, προχωραμ"
αβραμακης αντωνιου ελευθεριος,"υγει, κεελπν, κανονικοτητ, χρεοκοπι, δημοσι, προσωπ, clawback, εκαβ, εκεπ, νοσοκομει, προσωπικ, προκαλες, οργανισμ, αντικαπνιστικ, αναγκ, δομ, χρηματοδοτ, προσληψ, προηγ, αφηγημ"
αβραμιδης νικολαου γαβριηλ,"γενοκτονι, αρμενι, ασσυρι, αναγνωρις, ελλην, ασσυριακ, μοργκεντα, χενρ, τουρκι, εγκληματ, 2012, ψηφισμ, τουρκικ, φυλ, ιστορικ, ερευνητικ, 1994, ιστορι, διακομματικ, οφειλουμ"
αβραμοπουλος λαμπρου δημητριος,"υγει, κοινωνι, δυσπιστι, κοινωνικ, ρολ, πολιτ, εργ, νοσοκομειακ, φαντασματ, καποτε, αυτοσκοπ, ευχομαστ, διακυβερνης, νε, αποφασις, κοινοτικ, νοικοκυρευουμ, παραλληλ, προτας, ιατρικ"
αγγελης στεφανου ανεστης,"συνοριακ, εγκληματικοτητ, αντιληφθ, λαθρομεταναστ, αστυνομικ, δολοφον, εποχ, εννοι, καστορι, θετ, σκληρ, ασφαλει, φτωχει, φυλακ, αδικι, επιδοματ, πραγματικοτητ, ζουμ, αποδιοπομπαι, βρογχ"
αγγελοπουλος κωνσταντινου νικολαος,"απεργι, 1264, απεργ, εργαζ, συνδικαλιστικ, δικαιωμ, δικαιωματ, ιερ, διεκδικ, κινημ, συνολ, ενοτητ, κοινωνικ, καταδειξω, ορθοτητ, προσωπικ, καταπατης, ζω, προστατευ, διαρκει"
αγγουρακης γεωργιου χαραλαμπος,"ευδαπ, χειροτερευς, μετοχ, μετοχοποιης, φθασαμ, επιχειρης, εργαζ, πετρελαι, ιδιωτικοποιης, επηρεασθ, ιδιωτικοποιη, ασκ, συζηταγαμ, κερδιζουμ, ελληνικ, εντυπως, ελεγχ, τιδηποτ, αρνητικ, συνεπ"
αδαμοπουλος αθανασιου γεωργιος,"αναπηρ, σεισμ, χημικ, βεβαιωθεντ, 1986, περα, 1981, εσοδ, αποφας, μεσσηνι, καλαματ, ερχομαστ, αυτοκινητ, εγκυκλι, χρε, ρυθμις, αναφερ, αναγκαστικ, περιπτως, υποκειντα"
αδαμοπουλου αθανασιου αγγελικη,"διοικητικ, προληπτικ, θεωρουμ, αναθες, μελ, συνεδρι, συνοπτικ, νομοθεσι, εταιρει, συμβας, ελεγκτικ, απαρτι, ευθυνοφοβι, ελεγκτ, μολυβιατ, απευθειας, διενεργειτα, ενωσιακ, πλημμελ, διαφανει"
αηδονης ευαγγελου χρηστος,"δικηγορικ, επιλογ, συλλογ, φραγ, παρελθον, ξενοφοβι, μελλον, αντιρατσιστικ, προσοντ, ενφι, συναφει, σκοπιμοτητ, δοκ, επικαιροτητ, αντιστοιχ, ρατσιστικ, ανθρωποτητ, κομμα, δικαιωμ, εκχωρης"
