political_party,top_keywords
ανεξαρτητοι (εκτος κομματος),"επιχειρης, προυπολογισμ, μετρ, οικονομικ, δεκ, κρατ, δαπαν, μπονους, ευρωπαικ, πιο, τροπ, εξετας, πασοκ, προτας, παιδ, αδει, λογικ, παιδι, μνημονι, υγει"
ανεξαρτητοι δημοκρατικοι βουλευτες,"χρηματοδοτης, δημοσι, συστημ, οπου, δανειοδοτης, προοδευτικοτητ, επιχορηγης, ρυθμις, ανωνυμι, υπαλληλ, ξηροτυρ, κρατικ, καμμι, story, ελεγχ, κτηρι, θελ, επιλογ, επιτελ, μικρ"
ανεξαρτητοι ελληνες - πανος καμμενος,"δημοσι, ελληνικ, ακινητ, ελλην, 2013, μεταλλει, 2012, μεταλλευτικ, μνημονι, cds, ελλαδ, λα, ανεξαρτητ, ρυθμις, οικονομικ, προυπολογισμ, πολιτ, κοινωνικ, στοχ, μελετ"
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,"ευρωπαικ, επιχειρης, εθνικ, ανθρωπ, οδηγι, ελλην, δικαι, ιθαγενει, κοινωνικ, αλλοδαπ, κρατ, προσανατολισμ, αποχετευς, δημοκρατι, γαμ, υδρευς, συμφων, ελληνικ, πραγματικ, ενως"
βουλη,"2018, εξωτερικ, νικολα, δημοκρατι, πρεβεζ, αμυν, υγει, αλβανι, πειραιως, ενως, κκυρι, 1616, καναλακι, 1588, 1618, 1592, 1617, ανακοινωσω, ριζοσπαστικ, θρησκευματ"
δημοκρατικη ανανεωση,"πυρκαι, δας, αναδασως, συχνοτητ, φυλακι, ασυρματ, αεροπλαν, πολεμ, κοιν, κατατριβομεθ, θεματ, υποδειξ, βοηθηθ, αναγκ, ναρκωτικ, ιδιοκτησι, δασικ, σπευδ, κατασβες, βιλ"
δημοκρατικη αριστερα,"αγροτικ, δημοσι, δεδ, πληροφορι, ανοικτοτητ, ανοικτ, αγροτ, παραγωγ, κομμα, τομ, υποπτ, λι, λιμενικ, διοικης, αναπτυξ, σχετικ, δημοκρατικ, διαφανει, διαθες, εφαρμογ"
δημοκρατικη συμπαραταξη (πανελληνιο σοσιαλιστικο κινημα - δημοκρατικη αριστερα),"ελληνικ, θεματ, δε, δημοσι, κυκλ, 2018, συνταξ, πολιτ, νε, εθνικ, σκελ, ελλαδ, απαντης, συμπαραταξ, 2017, ανθρωπ, οικονομικ, 10, καταθες, διαδικασι"
δημοκρατικο κοινωνικο κινημα,"ολυμπιακ, ειρηνοδικ, παιδι, οικονομικ, εθνικ, ρυθμις, δημοκρατι, αγων, κτελ, τελικ, τροπ, θελ, λα, δημοσι, ελληνικ, φορολογικ, εφετ, διεξαγωγ, ανδρ, χωρι"
ελληνικη λυση - κυριακος βελοπουλος,"ελλαδ, τιμουμ, τουρκι, επετει, ρωσι, δημοκρατι, ελλην, ευημερ, αγων, μαρκελλ, εθνικ, αγωνιστηκ, ακουστ, πρεσπ, πακισταν, ελεγ, συριζα, εμπαργκο, μαυρ, ελληνικ"
ενωση κεντρωων,"διαπιστευς, εθνικ, εργασι, δε, κεντρω, κωλυματ, λογω, φορτ, εποπτικ, μετρολογι, συζητειτα, νε, 2018, κλαδ, υγει, σελιδ, αρχ, ελληνικ, καναλι, ενως"
εξωκοινοβουλευτικός,"εργ, συνταξ, διαδικασι, ελληνικ, αποφας, δημοσι, επ, σωστ, σημαντικ, υπηρεσι, περιπτως, στοχ, πραγματι, πολιτιστικ, ρυθμις, πολιτ, προστασι, θεματ, προβλημ, τροπ"
κινημα αλλαγης,"εκλογικ, ελλην, αρχ, εκλογ, εξωτερικ, συγγραμματ, ασκης, ασυλι, συνταγματικ, εκπαιδευτικ, επιστολικ, αναθεωρης, αλλαγ, περιορισμ, λογω, ελλαδ, περιφερει, δημαρχ, ποινικ, εκπαιδευς"
κομμουνιστικο κομμα ελλαδας,"εργαζ, λα, ευρωπαικ, ενως, λαικ, κεφαλαι, δημοκρατι, δημοσι, κερδ, μετρ, ελληνικ, νε, κοινωνικ, πιο, αναγκ, γενικ, ζητημ, ελλαδ, συστημ, δικαιωματ"
λαικος ορθοδοξος συναγερμος,"ελληνικ, ελλαδ, δημοκρατι, ανθρωπ, πασοκ, δικαστ, ευρωπαικ, κοσμ, νε, εθνικ, εκαν, προβλημ, σχετικ, πολυτεκν, αρχ, αλβανι, στοιχει, κοινωνικ, ελλην, βλαχ"
λαικος συνδεσμος - χρυση αυγη,"ελληνικ, αυγ, χρυς, ελλην, ελλαδ, λα, πολιτ, δημοσι, φυσικ, κρατ, δημοκρατι, εθνικ, πατριδ, λαικ, αριστερ, μεταναστ, εις, οικογενει, σχετικ, θελ"
