speech,top_keywords
0,"τομπρ, αυριαν, θεσμ, διαχωριστικ, εφημεριδ, δημοκρατι, κασετ, συμφιλιως, συνδικαλισμ, εννοους, εβγαιν, ης, ερτ, γραμμ, βαλετ, πασοκ, φακελωμ, φακελ, εδηλων, ανερυθριαστ"
1,"κυρκ, απλ, προστατευς, πνευμ, ξερ, υπαλληλ, κοσμ, εργαζ"
2,"κατονομαζ, υπεξαιρες, τραπεζ, 60, κρητ, αξιολογης, γραμμ, 1982, εκατ, ενδειξ, υποθες, 45, αναφεροντα, λογαριασμ, στοιχει, ταλανιστηκ, συνηγαγ, αξιολογησαν, κρουσταλακ, σκαρλατ"
3,"ελεγχουμ, γενικως, συνιστ, ομιλητ, αδυνατ, προεδρει, δικαι, σαν, γενικ, αρχ"
4,"πετς, κοσκωτ, λουβαρ, πηρ, μαρτυρικ, πανωτοκι, εφημεριδ, αγοραζ, αγορας, παμπερς, ρουμελιωτ, καταθες, βραδυν, υιοθετω, χαλικι, κακλαμαν, συναντης, κουτσογιωργ, λεφτ, ανακριτικ"
5,"νικολα, ιωανν, γεωργι, θεοδωρ, κωνσταντιν, βασιλει, συνδιαλεξ, δημητρι, αθανασι, ευαγγελ, παναγιωτ, αναστασι, τηλεφωνικ, μιχαηλ, χρηστ, προτας, ανδρε, παρακολουθης, σωτηρι, χαραλαμπ"
6,"ευπ, τιδηποτ, περιοριζετα, ασκ, παρακολουθης, ασφαλει, προστασι, δυνατοτητ, θεματ, εθνικ"
7,"πυρκαι, δας, αναδασως, συχνοτητ, φυλακι, αεροπλαν, ασυρματ, πολεμ, κοιν, βοηθηθ, υποδειξ, αναγκ, θεματ, κατατριβομεθ, δασικ, ιδιοκτησι, ναρκωτικ, κατασβες, βιλ, σπευδ"
8,"ρυθμις, μαθητ, λυκει, κυρωσαμ, ερχοντα, κουραγι, σκυψουμ, αθληματ, συμπληρωσω, ομαδικ, ολυμπιαδ, εκπροθεσμ, υποστηριζουμ, διαπιστων, αθλητ, πειραζ, πιθανοτητ, προβληματ, προνομι, αποσπασματικ"
9,"δραστηριοτητ, φρονηματ, αστυνομευς, δεσμευτ, ελεγχ, υπαρξ, πλαισι, λειτουργι, υπηρεσι"
10,"ανταρσι, διαρκους, σοφουλ, ιδιοτελει, 509, αμφισβητω, υποστηριξετ, ερχεσθ, επαναλαμβανω, γνωριζετ, κεντρ, αποψ"
11,"αυτουργ, πρωθυπουργ, παρακολουθης, ευπ, προσταγ, ηθικ, τσιμ, υπηρεσι, μπορους, απορρητ, νομικ, συμπεριφορ, ωτακουστ, σκανδαλ, ανθρωπ, δρους, ασφαλει, μυστικ, πραγματι, χερι"
12,"καλαμποκι, παραπομπ, ψηφιζουμ, επιτρεψετ, συμμετοχ, ασφαλει, δηλως, κρις, υποθες, προηγ, περισς"
13,"οργαν, ραδιοτηλεοπτικ, γραμματει, αρμοδιοτητ, ανεξαρτητ, φιλοδοξ, συμβουλι, αποδεχομαστ, γνωμοδοτικ, πραγματι, ουσιαστικ, ανεξαρτησι, μερικ, δουμ, διαφορ, ιδ, φρας, συμφων, αποκοψ, γοητευτικοτητ"
14,"συμπερανω, συχνοτητ, καναλ, εμβελει, συμφωνειτ, κατοχυρως, καταλαβ, λειτουργης, σαν, πλεον, προτας, εθνικ"
15,"σημαιν, τηλεορας, εμμες, παροικουντ, διοικησουμ, διατεταγ, πλεγματ, αντιθετ, συμφεροντ, ιερουσαλημ, τεραστι, απαλειψ, ενισχυουμ, ατυχι, ειλικρινως, επιμεινετ, ειχαμ, τουλαχιστ, σηφουνακ, παθ"
16,"ευχαριστως, ευθ, επιτρεπετα, δωσω, διαρκει, μολις, τελειως, δηλως"
17,"94, αναλογικ, ενισχυ, αποσαφηνισθηκ, υποθετικ, στερηθ, εισαγαγ, εφερν, φραγμ, αφαιρες, παρακαλους, οπλ, παρεχετα, κατανοης, τεθ, παρακαλεσω, εκλογικ, εκφρας, παραταξ, σαφ"
