Similarity,Member A,Member B
0.4952020974203632,δρεττακης γεωργιου εμμανουηλ,τσαλδαρης κωνσταντινου αθανασιος
0.4930725677440067,παπαδοπουλος κωνσταντινου αλεξανδρος (αλεκος),φλωρακης ιωαννη χαριλαος
0.4882454336241519,κακλαμανης χρηστου αποστολος,τσαλδαρης κωνσταντινου αθανασιος
0.4663470421555937,κανελλοπουλου αθανασιου κρινιω,μητσοτακης κωνσταντινου κυριακος
0.46542886690113944,παπαδακης γεωργιου νικολαος,σκουλας γεωργιου ιωαννης
0.43886803375767125,ξανθος γεωργιου ανδρεας,σκουλας γεωργιου ιωαννης
0.43552566097885986,δρεττακης γεωργιου εμμανουηλ,κακλαμανης χρηστου αποστολος
0.42694391653536634,παπαδακης γεωργιου νικολαος,παπαδελλης γεωργιου φραγκλινος
0.4179225036144581,μπουτας θωμα ευαγγελος,πιπεργιας παντελη δημητριος
0.41131990546180675,παπαδελλης γεωργιου φραγκλινος,σκουλας γεωργιου ιωαννης
0.4083570311350531,αμμανατιδου-(πασχαλιδου) γεωργιου ευαγγελια (λιτσα),περλεπε-σηφουνακη αγγελου αικατερινη
0.40546386966243525,καραθανασοπουλος πετρου νικολαος,κατσωτης περικλη χρηστος
0.40406184727705946,γκατζης φιλιππου νικολαος,καραθανασοπουλος πετρου νικολαος
0.4014838418860933,καραθανασοπουλος πετρου νικολαος,παπαρηγα νικολαου αλεξανδρα
0.40095642047953217,ζηση αθανασιου ροδουλα,κακλαμανης χρηστου αποστολος
0.3913758839617191,ζηση αθανασιου ροδουλα,τσαλδαρης κωνσταντινου αθανασιος
0.3908189128036486,παπαρηγα νικολαου αλεξανδρα,παφιλης σπυριδωνος αθανασιος
0.3861990404768535,κακλαμανης χρηστου αποστολος,σγουριδης σγουρη παναγιωτης
0.3854167390681749,ξανθος γεωργιου ανδρεας,παπαδακης γεωργιου νικολαος
0.38428717240058746,μουτσινας ιωαννη παρισης (παρις),περλεπε-σηφουνακη αγγελου αικατερινη
0.3824549038484393,βλασσοπουλος νικολαου ευαγγελος,παπαδακης γεωργιου νικολαος
0.3814471360472691,κανελλοπουλου αθανασιου κρινιω,στυλιανιδης στυλιανου ευριπιδης
0.37655357988508265,καραθανασοπουλος πετρου νικολαος,κουτσουμπας αποστολου δημητριος
0.3757118205049438,κουτσουμπας αποστολου δημητριος,παπαρηγα νικολαου αλεξανδρα
0.37389148409490347,μητσοτακης κωνσταντινου κυριακος,στυλιανιδης στυλιανου ευριπιδης
0.37032748895401013,καραθανασοπουλος πετρου νικολαος,παφιλης σπυριδωνος αθανασιος
0.3675828943646609,γιαννελλης-θεοδοσιαδης ζαφειριου ιωαννης,γκερεκου ιωαννη αγγελικη
0.36633558674200534,στυλιανιδης στυλιανου ευριπιδης,τζουφη στεφανου μεροπη
0.36631831652500624,κωνσταντοπουλος λεωνιδα γεωργιος,παπαδακης γεωργιου νικολαος
0.3662588358406954,καλαντζης κωνσταντινου γεωργιος,κολλια-τσαρουχα ευστρατιου μαρια
0.36233088219506465,αμμανατιδου-(πασχαλιδου) γεωργιου ευαγγελια (λιτσα),μουτσινας ιωαννη παρισης (παρις)
0.3584903416093955,καστανιδης γεωργιου χαραλαμπος,τζακρη εμμανουηλ θεοδωρα
0.35688238782274445,γειτονας ιωαννη κωνσταντινος,σγουριδης σγουρη παναγιωτης
0.3549252681407822,δραγασακης ανδρεα ιωαννης,καλαντζης κωνσταντινου γεωργιος
0.3542742155454405,καραθανασοπουλος πετρου νικολαος,τζεκης κωνσταντινου αγγελος
0.35403697299382914,γκατζης φιλιππου νικολαος,μεικοπουλος μιχαηλ αλεξανδρος
0.35251694476794704,κεφαλογιαννη ιωαννη ολγα,πετρος δουκας
0.3511192129017493,γεωργιαδης νικολαου μαριος,κρεμαστινος θωμα δημητριος
0.35084351973116135,κολλια-τσαρουχα ευστρατιου μαρια,νακος σταυρου αθανασιος
0.3507588203684464,κουτσουκος δημητριου γιαννης,παντουλας χρηστου μιχαηλ
0.35021799089471567,γκατζης φιλιππου νικολαος,μακρυπιδης διονυσιου ανδρεας
0.34858210320217575,μακρυπιδης διονυσιου ανδρεας,μεικοπουλος μιχαηλ αλεξανδρος
0.34811939695302846,καλαντζης κωνσταντινου γεωργιος,κρεμαστινος θωμα δημητριος
0.3479896406549017,αβραμοπουλος λαμπρου δημητριος,παπαδελλης γεωργιου φραγκλινος
0.34788181613309455,κολλια-τσαρουχα ευστρατιου μαρια,κρεμαστινος θωμα δημητριος
0.34730024224362677,σγουριδης σγουρη παναγιωτης,σουρλας ιωαννη γεωργιος
0.3466998641039589,σγουριδης σγουρη παναγιωτης,τσαλδαρης κωνσταντινου αθανασιος
0.3448202820296496,μισαηλιδης σταματιου γεωργιος,τσουρνος ηλια γεωργιος
0.3448141658067333,δρεττακης γεωργιου εμμανουηλ,ζηση αθανασιου ροδουλα
0.3447014793278546,κορακας χρηστου ευστρατιος,παπαρηγα νικολαου αλεξανδρα
0.34317295343688275,κρητικος δημοσθενη νεοκλης,φουρας αθανασιου ανδρεας
0.3429865868093437,ξανθος γεωργιου ανδρεας,παπαδελλης γεωργιου φραγκλινος
0.3421558692782866,κεγκερογλου αλεξανδρου βασιλειος,παπουτσης δημητριου χρηστος
0.34138472369740924,γκελεσταθης αναστασιου νικολαος,χαραλαμπους νικολαου ιωαννης
0.34120538035440257,κανελλοπουλου αθανασιου κρινιω,ταλιαδουρος αθανασιου σπυριδων
0.3387022428347829,κρητικος δημοσθενη νεοκλης,λιανης θεμιστοκλη γεωργιος
0.3380425424535549,γιαννελλης-θεοδοσιαδης ζαφειριου ιωαννης,στυλιανη μενδωνη
0.3321129720313605,μιχαηλ-κωνσταντινος σταθοπουλος,τσουδερου εμμανουηλ βιργινια
0.3318690726954554,κουναλακης εμμανουηλ πετρος,χουρμουζιαδης χαραλαμπους γεωργιος
0.32982446261546966,βενιζελος βασιλειου ευαγγελος,παπαρηγα νικολαου αλεξανδρα
0.3297399524365242,γκερεκου ιωαννη αγγελικη,στυλιανη μενδωνη
0.3275399127991629,αρσενης διονυσιου γερασιμος,κουρκουλα κωνσταντινου ελενη
0.32675777062615,κουβελης ευαγγελου φωτιος-φανουριος,τσιαρας αλεξανδρου κωνσταντινος
0.32564664552097977,κωνσταντοπουλος λεωνιδα γεωργιος,ξανθος γεωργιου ανδρεας
0.32498184793742874,αναγνωστοπουλου πετρου αθανασια (σια),αντωνιου βασιλειου μαρια
0.32476090976060323,κωνσταντοπουλος λεωνιδα γεωργιος,σκουλας γεωργιου ιωαννης
0.3232090543355894,δαμανακη θεοδωρου μαρια,σωτηροπουλος νικολαου βασιλειος
0.3223400915147015,δρεττακης γεωργιου εμμανουηλ,σγουριδης σγουρη παναγιωτης
