member_name,top_keywords
αβδελας κωνσταντινου αποστολος,"παπαναστας, ταραντιλ, ξανθοπουλ, τζανακοπουλ, δημοκρατι, 771, αφαιρω, κωτς, σκουρολιακ, χριστιν, θεοφιλ, χητ, αλεξοπουλ, ξενογιαννακοπουλ, σακοραφ, αδαμοπουλ, φαμελλ, συριζα, 4ο, διαθες"
αβραμακης αντωνιου ελευθεριος,"υγει, κεελπν, χρεοκοπι, κανονικοτητ, δημοσι, πολιτικ, προσωπ, clawback, εκαβ, εκεπ, χωρ, νοσοκομει, προσωπικ, οργανισμ, προκαλες, αναγκ, ος, αντικαπνιστικ, δομ, προηγ"
αβραμιδης νικολαου γαβριηλ,"γενοκτονι, αρμενι, ασσυρι, αναγνωρις, ελλην, τουρκι, ασσυριακ, μοργκεντα, χενρ, εγκληματ, 2012, ψηφισμ, ιστορικ, τουρκικ, φυλ, ερευνητικ, 1994, ιστορι, διακομματικ, οφειλουμ"
αβραμοπουλος λαμπρου δημητριος,"υγει, πολιτικ, κοινωνι, δυσπιστι, κοινωνικ, πολιτ, ρολ, εργ, νοσοκομειακ, φαντασματ, καποτε, νε, αυτοσκοπ, διακυβερνης, ευχομαστ, αποφασις, χωρ, κοινοτικ, παραλληλ, προτας"
αγγελης στεφανου ανεστης,"συνοριακ, εγκληματικοτητ, αντιληφθ, λαθρομεταναστ, αστυνομικ, δολοφον, εποχ, εννοι, καστορι, θετ, σκληρ, ασφαλει, φτωχει, φυλακ, αδικι, επιδοματ, πραγματικοτητ, ζουμ, αποδιοπομπαι, βρογχ"
αγγελοπουλος κωνσταντινου νικολαος,"απεργι, 1264, απεργ, εργαζ, συνδικαλιστικ, δικαιωμ, δικαιωματ, ιερ, διεκδικ, κινημ, συνολ, ενοτητ, κοινωνικ, καταδειξω, ορθοτητ, προσωπικ, ζω, προστατευ, καταπατης, διαρκει"
αγγουρακης γεωργιου χαραλαμπος,"ευδαπ, χειροτερευς, μετοχ, μετοχοποιης, φθασαμ, επιχειρης, εργαζ, πετρελαι, ιδιωτικοποιης, επηρεασθ, ιδιωτικοποιη, ασκ, ελληνικ, συζηταγαμ, ελεγχ, κερδιζουμ, εντυπως, αρνητικ, τιδηποτ, συνεπ"
αγοραστος αναστασιου κωνσταντινος,"διακοπτω, συνεχιζ, προσωπικ"
αδαμοπουλος αθανασιου γεωργιος,"αναπηρ, σεισμ, χημικ, βεβαιωθεντ, 1986, περα, εσοδ, 1981, αποφας, μεσσηνι, καλαματ, ερχομαστ, αυτοκινητ, εγκυκλι, ρυθμις, χρε, αναφερ, αναγκαστικ, περιπτως, υποκειντα"
αδαμοπουλου αθανασιου αγγελικη,"διοικητικ, προληπτικ, θεωρουμ, μελ, αναθες, συνεδρι, νομοθεσι, συνοπτικ, συμβας, εταιρει, ελεγκτικ, ελεγκτ, απαρτι, ευθυνοφοβι, μολυβιατ, απευθειας, δημοσι, διαφανει, διενεργειτα, ενωσιακ"
αδρακτας φωτιου παναγιωτης,"ενθ, προδιαγραφ, σαφως, επιπτως, μπαιν, οικονομικ, πολιτικ"
αηδονης ευαγγελου χρηστος,"δικηγορικ, επιλογ, συλλογ, φραγ, παρελθον, ξενοφοβι, μελλον, αντιρατσιστικ, πολιτικ, προσοντ, ενφι, σκοπιμοτητ, συναφει, αντιστοιχ, δοκ, επικαιροτητ, ρατσιστικ, ευρωπαικ, κομμα, ανθρωποτητ"
αθανασιος μικρουτσικος,"ζι, κορκολοπουλ, εσταλ, παρολ, βυζαντιν, εντειν, μεταφερω, επικεφαλ, καλυπτετα, διαβεβαιως, ανελαβ, σεπτεμβρι, ετοιμ, πολιτισμ, μελετ, γνωριζετ, συνεχει, εργασι, βας, οπου"
αθανασιος σκορδας,"γεμ, εκρο, εταιρικ, εισρο, δυσλειτουργι, διορισμ, μητρω, εποπτει, officio, εγκαταστας, ex, επιβραβευετ, εμπορικ, αντισταθμις, χρηματοδοτης, αρνουμαστ, δης, διαδικτυακ, πρατηρι, εγκαλειτ"
αθανασιος τσαυταρης,"προκαταβολ, εοφ, αξιολογηθ, εγγυητικ, δανει, προκει, χαμηλοτοκ, σημαντικ, μεταποιητικ, ταμει, θιξατ, καπ, ανεβας, επιστολ, διακοσι, μειωσουμ, εφτας, εγκριθ, επτακοσι, ινστιτουτ"
αθανασιου ευθυμιου αθανασιος (νασος),"εργοδοτ, παντοτε, αιτιας, herald, international, tribune, ειρωνευοντα, τιτλοφορης, ειρωνευομα, εκδικης, εκαν, επισυναπτετα, περιφρον, περιφρονης, ανεφερ, αμειβ, ειρωνει, επεφερ, αγγλικ, αισθητικ"
αθανασιου χριστοφα χαραλαμπος,"δραστ, κωδικ, φορα, κουκουλ, ναυτιλιακ, νησι, πλοι, συμβιως, εταιρι, ποινικ, συμφων, αναφερθω, τηρειτα, τιμωρησουμ, αργ, αναφερομα, πρωτ, ζητηματ, 1358, απαγορευετα"
αθανασοπουλος ανδρεα νικολαος,"απευθυνομα, μιλησω, ακουοντ, ωτ, βλεπω, απευθυνθηκ, λαβω, ανταποκρις, ροκοφυλλ, επιτραπ, περιμενω, δεχομα, δω, προσωπικ, κινηματ, προβλημ, μεταχειρις, ειδικ, βρηκ, θες"
αιβαλιωτης ιωαννη κωνσταντινος,"κορτινεζ, ευρωβουλ, εσχ, πεντελ, δας, παρνηθ, ποθ, βιοτοπ, γεωτεχνικ, εκτας, δασικ, εκθες, πανεπιστημι, γουλ, δεντροφυτευς, κουτσουρ, κατακαηκ, υμηττ, χονδροειδ, επιμελητηρι"
αιβατιδης γεωργιου ιωαννης,"νος, εγκαθιδρυς, υγει, παγκοσμι, κονγκ, συγκεκρι, φρονουμ, γραφει, οργανισμ, ανεξελεγκτ, υπερψηφισουμ, φαρμακευτικ, κινδυν, μεταναστευς, αυγ, εκδηλως, συναντης, χρυς, dr, flu"
