political_party,top_keywords
ανεξαρτητοι (εκτος κομματος),"ολυμπιακ, ελληνικ, ναυτιλι, ναυτικ, φορολογικ, κοινωνικ, παραοικονομι, νε, δημοσι, δημοκρατι, ελλαδ, ευρωπαικ, συστημ, δικαιοσυν, καμ, εθνικ, ελεγ, οικονομικ, κοινωνι, επρεπ"
ανεξαρτητοι δημοκρατικοι βουλευτες,"δικηγορικ, επιλογ, συλλογ, φραγ, παρελθον, ευρωπαικ, ατζεντ, προβλημ, ξενοφοβι, μελλον, ακριτομυθι, πορτογαλ, κοινοβουλι, λεν, διαπραγματευς, διν, προσοντ, αντιρατσιστικ, δικαιωμ, ελληνικ"
ανεξαρτητοι ελληνες - πανος καμμενος,"λιγνιτ, ελληνικ, δε, οικονομικ, γενοκτονι, ελλην, ενεργει, mw, οργανισμ, ομμ, δημοσι, τον, αρμενι, αξι, αυθαιρετ, κοιτασματ, περικοπ, αναπτυξ, μοναδ, παραγωγ"
ανεξαρτητοι ελληνες εθνικη πατριωτικη δημοκρατικη συμμαχια,"τζιβ, σχολικ, μοναδ, θες, νομισμ, τε, δημοκρατι, εκπαιδευτηρι, μοριοδοτης, λειτουργι, νε, εκπαιδευτικ, προτας, ελλαδ, δημοσι, χριστοφοριδ, ανθρωπ, πλημμελει, διευθυντ, τουριστικ"
βουλη,"2018, υγει, ριζοσπαστικ, δημοκρατι, νε, 30, κατσωτ, συνασπισμ, κομμουνιστικ, συμβεβλ, επιστολ, αριστερ, σχετικ, λασιθι, χρηστ, κυκλ, ελλαδ, δωδεκανης, ιωανν, καρδιτς"
δημοκρατικη αριστερα,"πορνογραφι, πορνογραφικ, σεξουαλικ, αστυνομι, ρυθμις, δημοσι, πολιτ, παιδικ, ερωτικ, λειτουργ, κρατ, εθνικ, υλικ, υγει, θεματ, αναπαραστας, συμβουλι, φαρμακ, κοινωνικ, θηλασμ"
δημοκρατικη συμπαραταξη (πανελληνιο σοσιαλιστικο κινημα - δημοκρατικη αριστερα),"ελληνικ, τσιπρ, εκπαιδευς, διαδικασι, πολιτ, εθνικ, 2016, ευρωπαικ, προτας, δε, δημοσι, τροπ, προσφυγ, συριζα, κοινωνικ, επιχειρης, εργ, νε, καταθες, αναπτυξ"
δημοκρατικο κοινωνικο κινημα,"φαρμακ, λα, αγροτ, αμστερνταμ, αγροτικ, πραγματι, υπηρεσι, δημοσι, ελληνικ, πραγματικ, ευρωπ, κεραι, τελευται, οτσαλ, ανθρωπ, πολιτ, κλπ, τρομοκρατ, ευθυν, αμερικ"
ελληνικη λυση - κυριακος βελοπουλος,"νιαρχ, συμβας, ιδρυμ, νοσοκομει, κομοτην, ελληνικ, ραδιοφαρμακ, δημοσι, εργ, κοστ, γενικ, ix, ελλαδ, καταθεσουμ, εαβ, περιβαλλοντικ, σταυρ, συμβουλι, αναρωτιομαστ, μεθ"
ενωση κεντρωων,"κεντρω, τσιπρ, ενως, λα, δημοκρατι, ανθρωπ, νε, εννοουσατ, μητσοτακ, πλευρ, βαρ, πρεσπ, μανιφεστ, πολιτ, θετικ, υπολοιπ, εκλογ, χρειαζετα, στηριζω, γερμανι"
