year,top_keywords
1989,"κοσκωτ, μουσικ, αυτουργ, πολιτικ, ευθυν, ευπ, πρωτ, πρωθυπουργ, εργαζ, πασοκ, παπανδρε, συμφιλιως, ρυθμις, θες, συγκεκρι, αποφας, λα, μετρ, χωρ, προσταγ"
1990,"πολιτικ, ιδι, χωρ, δημοσι, πασοκ, δημοκρατι, αποφας, παναμ, επιχειρης, περιπτως, προβληματ, πρωτ, τομ, ος, δρχ, μεγαλ, ολμ, πολλ, σαν, τροπ"
1991,"εταιρι, κεφαλαιαγορ, κεφαλαι, αμοιβαι, χαρτοφυλακι, αξι, χρηματιστηρι, πολιτικ, αποφας, μεριδιουχ, ιδι, διαχειρις, επενδυς, μεριδι, χρηματιστηριακ, 1991, κινητ, μετοχ, περιπτως, ειδικ"
1992,"91, εθνικ, χωρ, πολιτικ, οικονομικ, δημοσι, μεγαλ, απαντης, ιδι, 813, εγγραφ, πρωτ, 1978, περιπτως, 1991, ελλαδ, ελληνικ, τραπεζ, κοινωνικ, ος"
1993,"93, κατεθες, χωρ, απαντης, ιδι, αναφορ, εγγραφ, κοινοτητ, ασφαλιστικ, 22393, πολιτικ, σχετικ, ζητ, αποφας, υπ, ακολουθ, δοθηκ, δημοσι, οικονομικ, ρυθμις"
1994,"εργ, πολιτικ, περιοχ, παραγρ, χωρ, ακολουθως, αναδιατυπωνετα, πρωτ, εδαφι, ιδι, μεγαλ, επιχειρης, αυθαιρετ, αποφας, εργοληπτικ, αρχ, δημοσι, υπηρεσι, ειδικ, κοινωνικ"
1996,"σταθμευς, αγροτ, ειδικ, ρυθμις, χωρ, εκατ, ελεγχ, ιδι, μεγαλ, επιστροφ, παρκομετρ, προβλημ, δημοσι, ος, πρωτ, θεατρ, aids, επιχειρης, περιπτως, τοπικ"
1997,"χωρ, ιδι, μεγαλ, ος, πολιτικ, πρωτ, περιοχ, αρχ, εργ, ελληνικ, διαδικασι, πολεοδομικ, ελεγχ, συγκεκρι, νε, δημοκρατι, δημοσι, κοινωνικ, οικιστικ, στοιχει"
1998,"ρηγ, χωρ, πολιτικ, ιδι, μεγαλ, ελληνικ, φαρμακ, ελλαδ, δημοκρατι, δημοσι, πολλ, νε, ος, βελεστιν, υγει, εθνικ, πρωτ, δραχμ, στοιχει, σελιδ"
1999,"πολιτικ, χωρ, δημοσι, ιδι, εθνικ, ελληνικ, υπαλληλ, ευρωπαικ, οτσαλ, ελλαδ, ρυθμις, δημοκρατι, μεγαλ, νε, πολλ, ος, προτας, κρατ, λα, περιπτως"
2000,"εργ, δημοσι, μεγαλ, πολιτικ, χωρ, ιδι, προτας, προβλημ, ελληνικ, ολυμπιακ, στιχ, θες, πρωτ, δραχμ, οστρακοειδ, χρηματιστηρι, δημοκρατι, συγκεκρι, τελευται, λεξ"
2001,"πολιτικ, χωρ, ιδι, μεγαλ, νε, ελληνικ, ος, δημοκρατι, πρωτ, επιχειρης, οικονομικ, δημοσι, εθνικ, προτας, διαδικασι, ουσιαστικ, πολλ, συγκεκρι, υπηρεσι, αρχ"
2002,"πολιτικ, χωρ, πλαισι, εργ, δημοσι, κοινοτικ, ος, κοινωνικ, μεγαλ, δημοκρατι, αρχ, ελληνικ, ιδι, νε, στηριξ, πρωτ, στοιχει, ελλαδ, προτας, 2002"
2003,"2002, κατεθες, δημοσι, ος, χωρ, πολιτικ, μεγαλ, υπηρεσι, αρχ, προτας, συγκεκρι, 2003, δημ, αναφορ, περιοχ, ιδι, ζητ, απαντης, οικονομικ, αγορ"
