Similarity,Member A,Member B
0.6815301226240907,σουρλας ιωαννη γεωργιος,χατζηγακης μιχαηλ σωτηριος
0.6664637280379978,μπενακη-ψαρουδα ευαγγελου αννα,σουρλας ιωαννη γεωργιος
0.6520111021357378,μπενακη-ψαρουδα ευαγγελου αννα,χατζηγακης μιχαηλ σωτηριος
0.6260278000585714,κακλαμανης χρηστου αποστολος,σουρλας ιωαννη γεωργιος
0.5802572985189378,κακλαμανης χρηστου αποστολος,μπενακη-ψαρουδα ευαγγελου αννα
0.5526105741254448,κακλαμανης χρηστου αποστολος,χατζηγακης μιχαηλ σωτηριος
0.5353817170701914,δρεττακης γεωργιου εμμανουηλ,κακλαμανης χρηστου αποστολος
0.5222339065370097,μπενακη-ψαρουδα ευαγγελου αννα,τραγακης παναγιωτη ιωαννης
0.49514298974812837,κεφαλογιαννη ιωαννη ολγα,λιασκος ιωαννη αναστασιος
0.4889441803455862,σουρλας ιωαννη γεωργιος,τραγακης παναγιωτη ιωαννης
0.48155252000430165,καφανταρη φωτιου χαρουλα (χαρα),μακρη-θεοδωρου ευαγγελου ελενη
0.4753768200230926,βουλγαρης ευαγγελου αλεξανδρος,ταταριδης δαυιδ κυριακος
0.47456166494376273,δρεττακης γεωργιου εμμανουηλ,μπενακη-ψαρουδα ευαγγελου αννα
0.46852402043811703,κακλαμανης χρηστου αποστολος,φραγκος αναστασιου δημητριος
0.4598848046240721,δημος παπαδημητριου,κικιλιας παναγιωτη βασιλειος
0.45914467872626513,καραθανασοπουλος πετρου νικολαος,κουτσουμπας αποστολου δημητριος
0.4586575075348853,δρεττακης γεωργιου εμμανουηλ,σουρλας ιωαννη γεωργιος
0.4566125175214547,νικολαιδου αρισταρχου βαρβαρα (βερα),σουρλας ιωαννη γεωργιος
0.4565266859757496,κακλαμανης χρηστου αποστολος,τραγακης παναγιωτη ιωαννης
0.4466630598444427,τραγακης παναγιωτη ιωαννης,χατζηγακης μιχαηλ σωτηριος
0.44124366566130446,δρεττακης γεωργιου εμμανουηλ,χατζηγακης μιχαηλ σωτηριος
0.43330753071484346,καραμανλης αλεξανδρου κωνσταντινος,σιουφας γεωργιου δημητριος
0.4287769170298702,σουρλας ιωαννη γεωργιος,φραγκος αναστασιου δημητριος
0.42250572359120686,μπενακη-ψαρουδα ευαγγελου αννα,φραγκος αναστασιου δημητριος
0.4225004241454543,δρεττακης γεωργιου εμμανουηλ,φραγκος αναστασιου δημητριος
0.41473733226693493,αλαβανος νικολαου αλεξανδρος,λαμπρουλης αριστειδη γεωργιος
0.4131906516397269,παπαδημητριου δημητριου ελισαβετ (ελσα),παχτας αστεριου χρηστος
0.41271729863862316,κακλαμανης χρηστου αποστολος,νικολαιδου αρισταρχου βαρβαρα (βερα)
0.40757951323911723,γερανιδης θεοδωρου βασιλειος,μωραιτης επαμεινωνδα νικολαος
0.40660091634105217,αυγενακης κωνσταντινου ελευθεριος,γκιοκας χρηστου ιωαννης
0.40645382351312725,γιαννελλης-θεοδοσιαδης ζαφειριου ιωαννης,κοντος ευστρατιου αλεξανδρος
0.3930674866169316,δραγασακης ανδρεα ιωαννης,ξηροτυρη-αικατεριναρη γεωργιου ασημινα
0.3908302464519705,φραγκος αναστασιου δημητριος,χατζηγακης μιχαηλ σωτηριος
0.38853268401060775,καραθανασοπουλος πετρου νικολαος,τζεκης κωνσταντινου αγγελος
0.38698335756094326,αβραμιδης νικολαου γαβριηλ,αμανατιδης γεωργιου ιωαννης
0.3751353394176555,βερελης δημητριου χρηστος,ροκος δημητριου γεωργιος
0.37379118295485037,καραθανασοπουλος πετρου νικολαος,λαμπρουλης αριστειδη γεωργιος
0.3724477509822729,λαμπρουλης αριστειδη γεωργιος,λεβεντης σωτηριου αθανασιος
0.3719831219403119,παπανδρεου ανδρεα γεωργιος,σιουφας γεωργιου δημητριος
0.3707750828945478,μπενακη-ψαρουδα ευαγγελου αννα,νικολαιδου αρισταρχου βαρβαρα (βερα)
0.36893746669297994,αλαβανος νικολαου αλεξανδρος,ξανθος γεωργιου ανδρεας
0.3670001806096773,νικολαιδου αρισταρχου βαρβαρα (βερα),χατζηγακης μιχαηλ σωτηριος
0.3657769585011527,αλαβανος νικολαου αλεξανδρος,νασιωκας παναγιωτη εκτορας
0.36458208835559486,κουτσουμπας αποστολου δημητριος,χαλβατζης εμμανουηλ σπυριδων
0.36409018515510755,καραμανλης αλεξανδρου κωνσταντινος,παναγιωτοπουλος παναγιωτη παναγιωτης (πανος)
0.3631338976504487,καραμανλης αλεξανδρου κωνσταντινος,παπανδρεου ανδρεα γεωργιος
0.3630832858313079,δρεττακης γεωργιου εμμανουηλ,τραγακης παναγιωτη ιωαννης
0.36157084921749977,καραμανλης αλεξανδρου κωνσταντινος,ρεγκουζας παναγιωτη αδαμ
0.36062988076690233,γεωργιος παπακωνσταντινου,ζωιδης ηλια νικολαος
0.35868191961463564,αρσενης διονυσιου γερασιμος,ραπτη γεωργιου ζωη
0.3577314539765667,θεοδωρακης γεωργιου μιχαηλ (μικης),λυδια κονιορδου
0.35604810388761293,λαμπρουλης αριστειδη γεωργιος,ξανθος γεωργιου ανδρεας
0.3551068629759209,νικολαιδου αρισταρχου βαρβαρα (βερα),τραγακης παναγιωτη ιωαννης
0.3526417642573462,καραθανασοπουλος πετρου νικολαος,χαλβατζης εμμανουηλ σπυριδων
0.3517508159678812,γειτονας ιωαννη κωνσταντινος,σγουριδης σγουρη παναγιωτης
0.3511304893085876,ραπτη σπυριδωνα αναστασια-συλβανα,φωτιαδης χρηστου ηλιας
0.3499120781411497,μαγκριωτης αστεριου ιωαννης,ξηροτυρη-αικατεριναρη γεωργιου ασημινα
0.34846041282907014,καραμανλης αλεξανδρου κωνσταντινος,ξηροτυρη-αικατεριναρη γεωργιου ασημινα
0.3474777128723972,γειτονας ιωαννη κωνσταντινος,σιουφας γεωργιου δημητριος
0.34618576254948924,ζειμπεκ χασαν χουσειν,κεδικογλου αγγελου συμεων
0.3452848574845168,πρωτοπαπας ιωαννη χρηστος,σιουφας γεωργιου δημητριος
0.3450682928494483,λαμπρουλης αριστειδη γεωργιος,νασιωκας παναγιωτη εκτορας
0.3446691586561456,γιαννοπουλος λαμπρου αθανασιος,φαρμακης ιωαννη νικολαος
0.3432650450373075,βερελης δημητριου χρηστος,πασσαλιδης ευαγγελου θεοδωρος
0.34298657981841546,ξηροτυρη-αικατεριναρη γεωργιου ασημινα,σιουφας γεωργιου δημητριος
0.34219715972247955,κοντος ευστρατιου αλεξανδρος,μπασιακος αθανασιου ευαγγελος
0.3421271625048729,μελας ιωαννη παναγιωτης,ξανθος γεωργιου ανδρεας
0.34164093870670253,νικολαιδου αρισταρχου βαρβαρα (βερα),νιωτης δημητριου γρηγοριος
0.34144359263285984,γειτονας ιωαννη κωνσταντινος,καραμανλης αλεξανδρου κωνσταντινος
